vessel_id,name,port,eta,teu,length_m,draft_m,priority,status
PORT_B-V00004,MV E-0004,PORT_B,2024-01-05 07:51:00,600,110.5,6.41,1,inbound
PORT_B-V00005,MV F-0005,PORT_B,2024-01-05 09:46:00,2000,189.2,9.08,2,inbound
PORT_B-V00006,MV G-0006,PORT_B,2024-01-05 12:34:00,2800,222.4,10.65,2,inbound
PORT_A-V00015,MV P-0015,PORT_A,2024-01-05 13:01:00,2000,175.4,9.45,1,inbound
PORT_B-V00007,MV H-0007,PORT_B,2024-01-05 16:19:00,600,112.4,6.83,1,inbound
PORT_A-V00017,MV R-0017,PORT_A,2024-01-05 16:20:00,1200,123.6,6.77,2,inbound
PORT_A-V00016,MV Q-0016,PORT_A,2024-01-05 16:34:00,300,103.2,5.3,2,inbound
PORT_A-V00018,MV S-0018,PORT_A,2024-01-05 19:23:00,1200,130.3,6.91,2,inbound
PORT_B-V00008,MV I-0008,PORT_B,2024-01-05 20:02:00,1200,156.2,7.63,2,inbound
PORT_A-V00019,MV T-0019,PORT_A,2024-01-05 21:38:00,600,100.0,5.93,3,inbound
PORT_B-V00009,MV J-0009,PORT_B,2024-01-06 09:41:00,600,110.4,6.02,3,inbound
PORT_B-V00010,MV K-0010,PORT_B,2024-01-06 11:10:00,600,103.9,6.08,1,inbound
PORT_A-V00020,MV U-0020,PORT_A,2024-01-06 11:39:00,600,90.3,5.22,2,inbound
PORT_B-V00011,MV L-0011,PORT_B,2024-01-06 21:09:00,600,98.3,6.1,2,inbound
PORT_A-V00021,MV V-0021,PORT_A,2024-01-06 22:32:00,600,115.1,5.99,1,inbound
PORT_A-V00022,MV W-0022,PORT_A,2024-01-07 10:44:00,600,121.9,6.3,1,inbound
PORT_B-V00012,MV M-0012,PORT_B,2024-01-07 10:51:00,600,127.4,5.68,3,inbound
PORT_A-V00023,MV X-0023,PORT_A,2024-01-07 12:32:00,1200,155.7,7.69,3,inbound
PORT_B-V00013,MV N-0013,PORT_B,2024-01-07 16:47:00,1200,155.0,7.49,2,inbound
PORT_A-V00024,MV Y-0024,PORT_A,2024-01-07 17:12:00,1200,139.4,7.23,1,inbound
PORT_A-V00025,MV Z-0025,PORT_A,2024-01-07 18:26:00,600,106.5,5.87,2,inbound
PORT_A-V00026,MV A-0026,PORT_A,2024-01-07 19:47:00,600,111.1,5.72,1,inbound
PORT_A-V00027,MV B-0027,PORT_A,2024-01-07 21:08:00,300,110.2,5.51,2,inbound
PORT_B-V00014,MV O-0014,PORT_B,2024-01-07 21:51:00,300,98.4,5.73,2,inbound
PORT_A-V00028,MV C-0028,PORT_A,2024-01-07 21:55:00,600,100.1,6.34,2,inbound
PORT_A-V00029,MV D-0029,PORT_A,2024-01-07 22:45:00,600,113.2,5.83,2,inbound
PORT_B-V00015,MV P-0015,PORT_B,2024-01-07 23:52:00,1200,139.2,7.79,2,inbound
PORT_A-V00030,MV E-0030,PORT_A,2024-01-08 01:39:00,2000,178.0,8.82,1,inbound
PORT_B-V00016,MV Q-0016,PORT_B,2024-01-08 01:44:00,600,117.6,5.87,2,inbound
PORT_A-V00031,MV F-0031,PORT_A,2024-01-08 18:14:00,300,78.1,5.72,3,inbound
PORT_A-V00032,MV G-0032,PORT_A,2024-01-08 20:26:00,600,106.3,6.0,2,inbound
PORT_A-V00033,MV H-0033,PORT_A,2024-01-09 10:29:00,2000,167.0,8.57,3,inbound
PORT_A-V00034,MV I-0034,PORT_A,2024-01-09 14:06:00,2000,176.2,9.31,2,inbound
PORT_A-V00035,MV J-0035,PORT_A,2024-01-09 15:16:00,600,114.6,5.63,2,inbound
PORT_A-V00036,MV K-0036,PORT_A,2024-01-09 23:03:00,600,106.2,6.5,1,inbound
PORT_A-V00037,MV L-0037,PORT_A,2024-01-10 10:43:00,600,110.0,6.01,2,inbound
PORT_A-V00038,MV M-0038,PORT_A,2024-01-10 11:02:00,1200,143.9,7.33,2,inbound
PORT_B-V00017,MV R-0017,PORT_B,2024-01-10 15:08:00,1200,155.7,7.68,2,inbound
PORT_A-V00039,MV N-0039,PORT_A,2024-01-10 20:49:00,2000,186.5,8.68,2,inbound
PORT_A-V00040,MV O-0040,PORT_A,2024-01-10 23:49:00,1200,128.7,7.51,2,inbound
PORT_A-V00041,MV P-0041,PORT_A,2024-01-11 03:39:00,600,91.6,6.76,3,inbound
PORT_A-V00042,MV Q-0042,PORT_A,2024-01-11 07:07:00,1200,129.9,7.0,2,inbound
PORT_A-V00043,MV R-0043,PORT_A,2024-01-11 08:04:00,600,106.5,6.62,2,inbound
PORT_B-V00018,MV S-0018,PORT_B,2024-01-11 09:42:00,1200,124.8,7.55,1,inbound
PORT_B-V00019,MV T-0019,PORT_B,2024-01-12 14:05:00,2000,166.1,8.93,1,inbound
PORT_B-V00020,MV U-0020,PORT_B,2024-01-12 16:47:00,1200,123.9,7.59,2,inbound
PORT_B-V00021,MV V-0021,PORT_B,2024-01-12 16:49:00,600,84.3,6.28,1,inbound
PORT_A-V00044,MV S-0044,PORT_A,2024-01-12 17:48:00,1200,140.0,6.99,2,inbound
PORT_B-V00022,MV W-0022,PORT_B,2024-01-12 19:52:00,1200,115.8,6.83,2,inbound
PORT_B-V00023,MV X-0023,PORT_B,2024-01-12 22:18:00,1200,133.1,7.83,2,inbound
PORT_B-V00024,MV Y-0024,PORT_B,2024-01-13 17:34:00,1200,134.5,7.17,2,inbound
PORT_A-V00045,MV T-0045,PORT_A,2024-01-13 18:46:00,1200,144.3,7.46,2,inbound
PORT_B-V00025,MV Z-0025,PORT_B,2024-01-13 20:19:00,300,90.3,5.37,2,inbound
PORT_A-V00046,MV U-0046,PORT_A,2024-01-13 21:16:00,300,93.5,4.84,3,inbound
PORT_A-V00047,MV V-0047,PORT_A,2024-01-13 22:18:00,1200,152.7,7.29,3,inbound
PORT_B-V00026,MV A-0026,PORT_B,2024-01-14 01:58:00,600,99.8,6.17,2,inbound
PORT_A-V00048,MV W-0048,PORT_A,2024-01-14 13:43:00,2000,163.6,9.17,1,inbound
PORT_B-V00027,MV B-0027,PORT_B,2024-01-14 14:54:00,2000,173.2,8.86,1,inbound
PORT_A-V00049,MV X-0049,PORT_A,2024-01-14 21:40:00,1200,139.9,7.63,1,inbound
PORT_B-V00028,MV C-0028,PORT_B,2024-01-14 23:20:00,600,94.1,5.88,2,inbound
PORT_A-V00050,MV Y-0050,PORT_A,2024-01-15 08:56:00,1200,153.4,7.39,2,inbound
PORT_A-V00051,MV Z-0051,PORT_A,2024-01-15 12:38:00,300,85.8,5.7,2,inbound
PORT_A-V00052,MV A-0052,PORT_A,2024-01-15 13:36:00,600,105.2,6.51,2,inbound
PORT_A-V00053,MV B-0053,PORT_A,2024-01-15 19:18:00,1200,140.7,7.29,1,inbound
PORT_A-V00054,MV C-0054,PORT_A,2024-01-15 20:20:00,2000,192.1,9.67,3,inbound
PORT_B-V00029,MV D-0029,PORT_B,2024-01-15 22:53:00,300,98.3,6.18,2,inbound
PORT_A-V00055,MV D-0055,PORT_A,2024-01-16 05:03:00,300,93.6,5.66,1,inbound
PORT_A-V00056,MV E-0056,PORT_A,2024-01-16 07:46:00,1200,151.3,7.39,2,inbound
PORT_A-V00057,MV F-0057,PORT_A,2024-01-16 08:19:00,300,79.0,5.29,1,inbound
PORT_A-V00058,MV G-0058,PORT_A,2024-01-16 10:50:00,600,107.7,6.09,2,inbound
PORT_B-V00030,MV E-0030,PORT_B,2024-01-16 12:46:00,300,67.5,5.85,2,inbound
PORT_A-V00059,MV H-0059,PORT_A,2024-01-16 15:44:00,300,74.7,5.79,3,inbound
PORT_A-V00060,MV I-0060,PORT_A,2024-01-16 20:09:00,300,91.6,4.91,2,inbound
PORT_B-V00031,MV F-0031,PORT_B,2024-01-16 22:23:00,600,115.1,5.79,2,inbound
PORT_A-V00061,MV J-0061,PORT_A,2024-01-16 23:29:00,300,86.1,5.24,2,inbound
PORT_B-V00032,MV G-0032,PORT_B,2024-01-17 20:05:00,2800,227.7,10.5,2,inbound
PORT_B-V00033,MV H-0033,PORT_B,2024-01-17 22:50:00,600,97.8,6.02,2,inbound
PORT_A-V00062,MV K-0062,PORT_A,2024-01-18 10:09:00,300,109.9,5.01,2,inbound
PORT_B-V00034,MV I-0034,PORT_B,2024-01-18 11:47:00,1200,139.5,7.56,1,inbound
PORT_A-V00063,MV L-0063,PORT_A,2024-01-18 11:54:00,2000,194.0,8.53,2,inbound
PORT_B-V00035,MV J-0035,PORT_B,2024-01-18 14:48:00,300,102.9,5.68,3,inbound
PORT_A-V00064,MV M-0064,PORT_A,2024-01-18 16:22:00,2000,183.7,9.09,3,inbound
PORT_B-V00036,MV K-0036,PORT_B,2024-01-18 17:52:00,1200,129.1,7.44,2,inbound
PORT_B-V00037,MV L-0037,PORT_B,2024-01-18 18:34:00,600,105.4,6.44,2,inbound
PORT_A-V00066,MV O-0066,PORT_A,2024-01-18 19:07:00,600,111.1,6.39,2,inbound
PORT_A-V00065,MV N-0065,PORT_A,2024-01-18 19:24:00,2000,173.5,8.41,2,inbound
PORT_B-V00038,MV M-0038,PORT_B,2024-01-18 19:59:00,2000,198.5,8.74,1,inbound
PORT_B-V00039,MV N-0039,PORT_B,2024-01-18 22:25:00,600,107.9,5.99,3,inbound
PORT_B-V00040,MV O-0040,PORT_B,2024-01-19 05:03:00,2000,178.6,8.9,1,inbound
PORT_B-V00041,MV P-0041,PORT_B,2024-01-19 17:44:00,600,121.1,6.2,1,inbound
PORT_A-V00067,MV P-0067,PORT_A,2024-01-19 22:25:00,600,100.2,5.91,2,inbound
PORT_A-V00068,MV Q-0068,PORT_A,2024-01-20 00:52:00,600,105.4,6.44,2,inbound
PORT_A-V00069,MV R-0069,PORT_A,2024-01-20 09:36:00,300,89.0,5.55,2,inbound
PORT_B-V00042,MV Q-0042,PORT_B,2024-01-20 09:51:00,1200,130.7,7.42,2,inbound
PORT_A-V00071,MV T-0071,PORT_A,2024-01-20 10:19:00,300,96.1,6.0,1,inbound
PORT_A-V00070,MV S-0070,PORT_A,2024-01-20 10:52:00,300,90.1,5.08,1,inbound
PORT_A-V00072,MV U-0072,PORT_A,2024-01-20 11:10:00,600,117.7,6.28,2,inbound
PORT_A-V00073,MV V-0073,PORT_A,2024-01-20 16:05:00,600,111.2,6.16,1,inbound
PORT_A-V00074,MV W-0074,PORT_A,2024-01-20 16:22:00,300,85.3,5.53,2,inbound
PORT_B-V00043,MV R-0043,PORT_B,2024-01-20 19:14:00,2000,186.7,8.75,3,inbound
PORT_A-V00075,MV X-0075,PORT_A,2024-01-20 19:41:00,2000,177.8,9.22,2,inbound
PORT_A-V00076,MV Y-0076,PORT_A,2024-01-20 19:43:00,300,81.8,5.92,2,inbound
PORT_A-V00078,MV A-0078,PORT_A,2024-01-20 20:23:00,300,104.0,5.81,2,inbound
PORT_A-V00077,MV Z-0077,PORT_A,2024-01-20 20:26:00,600,117.4,6.21,1,inbound
PORT_A-V00080,MV C-0080,PORT_A,2024-01-20 23:52:00,1200,129.0,7.78,1,inbound
PORT_A-V00079,MV B-0079,PORT_A,2024-01-20 23:59:00,300,93.1,5.96,2,inbound
PORT_A-V00081,MV D-0081,PORT_A,2024-01-21 02:34:00,300,102.1,5.41,1,inbound
PORT_B-V00044,MV S-0044,PORT_B,2024-01-21 09:58:00,2000,177.0,9.05,2,inbound
PORT_A-V00082,MV E-0082,PORT_A,2024-01-21 11:39:00,600,101.7,6.44,2,inbound
PORT_A-V00083,MV F-0083,PORT_A,2024-01-21 11:51:00,1200,157.0,6.81,3,inbound
PORT_B-V00045,MV T-0045,PORT_B,2024-01-21 15:43:00,1200,139.0,7.71,3,inbound
PORT_B-V00046,MV U-0046,PORT_B,2024-01-21 19:37:00,300,102.8,5.69,2,inbound
PORT_A-V00084,MV G-0084,PORT_A,2024-01-21 22:10:00,300,85.9,5.13,3,inbound
PORT_A-V00086,MV I-0086,PORT_A,2024-01-21 22:33:00,600,109.1,6.37,3,inbound
PORT_A-V00085,MV H-0085,PORT_A,2024-01-21 22:58:00,1200,138.4,7.71,2,inbound
PORT_B-V00047,MV V-0047,PORT_B,2024-01-22 08:35:00,600,83.3,5.98,3,inbound
PORT_A-V00087,MV J-0087,PORT_A,2024-01-22 11:07:00,1200,133.4,7.29,2,inbound
PORT_A-V00088,MV K-0088,PORT_A,2024-01-22 17:25:00,600,107.8,6.28,2,inbound
PORT_A-V00089,MV L-0089,PORT_A,2024-01-23 10:57:00,600,127.4,5.61,2,inbound
PORT_B-V00048,MV W-0048,PORT_B,2024-01-23 13:16:00,600,111.4,5.88,2,inbound
PORT_A-V00090,MV M-0090,PORT_A,2024-01-23 17:56:00,600,106.0,6.5,2,inbound
PORT_A-V00092,MV O-0092,PORT_A,2024-01-23 19:06:00,300,99.8,6.16,2,inbound
PORT_A-V00091,MV N-0091,PORT_A,2024-01-23 19:17:00,2800,204.5,10.39,2,inbound
PORT_A-V00094,MV Q-0094,PORT_A,2024-01-23 21:26:00,300,92.3,5.53,2,inbound
PORT_A-V00093,MV P-0093,PORT_A,2024-01-23 21:32:00,1200,138.9,6.92,3,inbound
PORT_A-V00095,MV R-0095,PORT_A,2024-01-23 23:52:00,300,95.0,5.39,1,inbound
PORT_A-V00096,MV S-0096,PORT_A,2024-01-24 06:46:00,1200,147.8,7.47,2,inbound
PORT_A-V00097,MV T-0097,PORT_A,2024-01-24 07:05:00,1200,147.4,7.28,2,inbound
PORT_B-V00049,MV X-0049,PORT_B,2024-01-24 08:34:00,300,101.5,6.42,2,inbound
PORT_A-V00098,MV U-0098,PORT_A,2024-01-24 10:26:00,300,100.0,5.71,2,inbound
PORT_A-V00099,MV V-0099,PORT_A,2024-01-24 16:21:00,300,88.2,5.65,2,inbound
PORT_B-V00050,MV Y-0050,PORT_B,2024-01-24 17:06:00,600,110.3,6.15,2,inbound
PORT_A-V00100,MV W-0100,PORT_A,2024-01-24 18:17:00,600,109.6,6.52,2,inbound
PORT_B-V00051,MV Z-0051,PORT_B,2024-01-24 20:24:00,1200,133.0,7.32,1,inbound
PORT_A-V00101,MV X-0101,PORT_A,2024-01-24 21:36:00,300,89.9,5.92,3,inbound
PORT_B-V00052,MV A-0052,PORT_B,2024-01-25 08:32:00,300,87.8,5.85,2,inbound
PORT_A-V00102,MV Y-0102,PORT_A,2024-01-25 18:22:00,600,106.3,6.21,2,inbound
PORT_A-V00103,MV Z-0103,PORT_A,2024-01-25 20:54:00,300,111.2,4.94,2,inbound
PORT_A-V00104,MV A-0104,PORT_A,2024-01-25 21:14:00,2000,180.0,8.98,3,inbound
PORT_A-V00105,MV B-0105,PORT_A,2024-01-26 00:15:00,1200,135.0,7.68,2,inbound
PORT_A-V00106,MV C-0106,PORT_A,2024-01-26 05:50:00,600,106.3,5.68,2,inbound
PORT_A-V00107,MV D-0107,PORT_A,2024-01-26 07:56:00,300,93.1,5.35,2,inbound
PORT_B-V00053,MV B-0053,PORT_B,2024-01-26 08:09:00,300,100.6,5.52,2,inbound
PORT_A-V00108,MV E-0108,PORT_A,2024-01-26 08:30:00,300,93.0,5.59,2,inbound
PORT_A-V00109,MV F-0109,PORT_A,2024-01-26 13:29:00,600,122.6,6.09,1,inbound
PORT_A-V00110,MV G-0110,PORT_A,2024-01-26 17:51:00,600,116.6,5.74,1,inbound
PORT_A-V00111,MV H-0111,PORT_A,2024-01-26 23:04:00,600,119.3,6.52,2,inbound
PORT_B-V00054,MV C-0054,PORT_B,2024-01-27 09:07:00,1200,150.5,7.36,2,inbound
PORT_A-V00112,MV I-0112,PORT_A,2024-01-27 10:35:00,1200,135.1,7.12,1,inbound
PORT_A-V00113,MV J-0113,PORT_A,2024-01-27 11:26:00,1200,139.1,8.25,2,inbound
PORT_B-V00055,MV D-0055,PORT_B,2024-01-27 12:33:00,2000,169.8,9.01,2,inbound
PORT_B-V00056,MV E-0056,PORT_B,2024-01-27 19:11:00,600,107.3,6.19,2,inbound
PORT_A-V00115,MV L-0115,PORT_A,2024-01-28 11:15:00,600,112.6,5.93,2,inbound
PORT_A-V00114,MV K-0114,PORT_A,2024-01-28 11:22:00,1200,134.7,7.39,2,inbound
PORT_B-V00057,MV F-0057,PORT_B,2024-01-29 08:12:00,600,97.7,5.86,2,inbound
PORT_A-V00116,MV M-0116,PORT_A,2024-01-29 13:39:00,1200,148.8,7.52,2,inbound
PORT_A-V00117,MV N-0117,PORT_A,2024-01-29 19:08:00,2000,166.5,8.51,2,inbound
PORT_A-V00118,MV O-0118,PORT_A,2024-01-29 23:48:00,600,127.1,6.1,2,inbound
PORT_A-V00119,MV P-0119,PORT_A,2024-01-30 12:01:00,1200,147.5,7.87,2,inbound
PORT_B-V00058,MV G-0058,PORT_B,2024-01-30 16:54:00,2000,180.9,8.48,2,inbound
PORT_B-V00059,MV H-0059,PORT_B,2024-01-30 20:31:00,600,111.7,5.65,2,inbound
PORT_A-V00120,MV Q-0120,PORT_A,2024-01-31 03:30:00,600,108.2,5.54,1,inbound
PORT_A-V00121,MV R-0121,PORT_A,2024-01-31 14:05:00,300,81.8,5.64,3,inbound
PORT_A-V00122,MV S-0122,PORT_A,2024-01-31 15:49:00,600,97.6,6.64,2,inbound
PORT_A-V00123,MV T-0123,PORT_A,2024-01-31 17:11:00,2800,227.0,10.5,2,inbound
PORT_B-V00060,MV I-0060,PORT_B,2024-01-31 17:21:00,600,115.2,6.38,2,inbound
PORT_A-V00124,MV U-0124,PORT_A,2024-01-31 20:50:00,300,90.6,5.17,1,inbound
PORT_B-V00061,MV J-0061,PORT_B,2024-01-31 22:47:00,1200,131.6,7.61,2,inbound
PORT_A-V00125,MV V-0125,PORT_A,2024-02-01 03:06:00,300,109.7,5.15,1,inbound
PORT_A-V00126,MV W-0126,PORT_A,2024-02-01 06:03:00,2000,177.9,9.03,2,inbound
PORT_B-V00062,MV K-0062,PORT_B,2024-02-01 07:37:00,600,119.6,5.65,2,inbound
PORT_A-V00127,MV X-0127,PORT_A,2024-02-01 09:41:00,600,133.5,5.99,2,inbound
PORT_A-V00128,MV Y-0128,PORT_A,2024-02-01 16:09:00,300,102.5,5.8,2,inbound
PORT_A-V00129,MV Z-0129,PORT_A,2024-02-01 20:17:00,300,94.7,5.55,3,inbound
PORT_A-V00130,MV A-0130,PORT_A,2024-02-01 22:08:00,600,105.7,6.42,2,inbound
PORT_B-V00063,MV L-0063,PORT_B,2024-02-01 22:30:00,1200,144.7,7.08,3,inbound
PORT_B-V00064,MV M-0064,PORT_B,2024-02-02 01:17:00,1200,132.4,7.91,2,inbound
PORT_A-V00131,MV B-0131,PORT_A,2024-02-02 02:47:00,1200,137.5,7.62,2,inbound
PORT_A-V00132,MV C-0132,PORT_A,2024-02-02 09:37:00,300,88.7,5.56,2,inbound
PORT_B-V00065,MV N-0065,PORT_B,2024-02-02 11:31:00,300,101.2,5.71,1,inbound
PORT_A-V00133,MV D-0133,PORT_A,2024-02-02 12:48:00,600,106.3,6.17,2,inbound
PORT_A-V00134,MV E-0134,PORT_A,2024-02-02 14:48:00,2000,190.2,9.11,2,inbound
PORT_B-V00066,MV O-0066,PORT_B,2024-02-02 21:27:00,300,90.9,5.85,3,inbound
PORT_A-V00137,MV H-0137,PORT_A,2024-02-02 23:16:00,1200,141.2,7.88,3,inbound
PORT_A-V00136,MV G-0136,PORT_A,2024-02-02 23:24:00,2000,195.8,8.66,2,inbound
PORT_B-V00067,MV P-0067,PORT_B,2024-02-02 23:28:00,2000,181.0,8.88,2,inbound
PORT_A-V00135,MV F-0135,PORT_A,2024-02-02 23:29:00,1200,138.9,6.6,1,inbound
PORT_B-V00068,MV Q-0068,PORT_B,2024-02-03 08:13:00,1200,139.7,7.64,2,inbound
PORT_B-V00069,MV R-0069,PORT_B,2024-02-03 08:19:00,2000,188.4,9.0,2,inbound
PORT_B-V00070,MV S-0070,PORT_B,2024-02-03 20:10:00,2800,229.6,10.57,1,inbound
PORT_A-V00138,MV I-0138,PORT_A,2024-02-03 20:13:00,600,110.2,6.86,3,inbound
PORT_B-V00071,MV T-0071,PORT_B,2024-02-03 20:14:00,300,80.5,5.09,1,inbound
PORT_B-V00072,MV U-0072,PORT_B,2024-02-04 06:32:00,2000,169.3,9.26,2,inbound
PORT_A-V00139,MV J-0139,PORT_A,2024-02-04 10:42:00,300,92.7,6.0,1,inbound
PORT_A-V00140,MV K-0140,PORT_A,2024-02-04 21:21:00,600,111.3,6.32,2,inbound
PORT_B-V00073,MV V-0073,PORT_B,2024-02-05 00:24:00,600,105.5,6.62,2,inbound
PORT_A-V00141,MV L-0141,PORT_A,2024-02-05 05:26:00,600,121.4,6.05,3,inbound
PORT_A-V00142,MV M-0142,PORT_A,2024-02-05 06:41:00,600,105.9,6.04,2,inbound
PORT_B-V00074,MV W-0074,PORT_B,2024-02-05 10:12:00,600,115.0,6.82,2,inbound
PORT_A-V00143,MV N-0143,PORT_A,2024-02-05 15:22:00,600,107.6,5.55,2,inbound
PORT_A-V00144,MV O-0144,PORT_A,2024-02-05 20:48:00,1200,141.5,7.29,2,inbound
PORT_A-V00145,MV P-0145,PORT_A,2024-02-05 21:09:00,300,84.4,6.06,2,inbound
PORT_B-V00075,MV X-0075,PORT_B,2024-02-05 21:19:00,2800,215.6,10.31,1,inbound
PORT_A-V00146,MV Q-0146,PORT_A,2024-02-05 22:21:00,600,97.1,6.08,1,inbound
PORT_B-V00076,MV Y-0076,PORT_B,2024-02-05 23:28:00,600,125.6,6.13,1,inbound
PORT_B-V00077,MV Z-0077,PORT_B,2024-02-06 02:02:00,2000,186.3,8.92,1,inbound
PORT_B-V00078,MV A-0078,PORT_B,2024-02-06 07:04:00,1200,140.9,7.61,1,inbound
PORT_A-V00147,MV R-0147,PORT_A,2024-02-06 10:29:00,600,114.5,5.59,3,inbound
PORT_A-V00148,MV S-0148,PORT_A,2024-02-06 10:42:00,300,98.4,5.91,2,inbound
PORT_A-V00149,MV T-0149,PORT_A,2024-02-06 11:12:00,1200,152.5,7.37,1,inbound
PORT_B-V00079,MV B-0079,PORT_B,2024-02-06 11:21:00,2000,179.6,8.27,2,inbound
PORT_B-V00080,MV C-0080,PORT_B,2024-02-06 14:52:00,2000,182.9,8.95,2,inbound
PORT_A-V00150,MV U-0150,PORT_A,2024-02-06 14:57:00,2000,186.5,9.1,1,inbound
PORT_A-V00151,MV V-0151,PORT_A,2024-02-06 15:13:00,600,102.4,6.23,2,inbound
PORT_A-V00152,MV W-0152,PORT_A,2024-02-06 17:19:00,600,107.6,6.44,3,inbound
PORT_A-V00153,MV X-0153,PORT_A,2024-02-06 18:50:00,600,102.9,6.12,2,inbound
PORT_A-V00154,MV Y-0154,PORT_A,2024-02-06 20:41:00,300,106.1,5.85,2,inbound
PORT_A-V00155,MV Z-0155,PORT_A,2024-02-07 02:34:00,600,118.0,6.74,3,inbound
PORT_B-V00081,MV D-0081,PORT_B,2024-02-07 12:22:00,300,109.9,5.64,1,inbound
PORT_A-V00156,MV A-0156,PORT_A,2024-02-07 13:28:00,600,94.4,6.32,2,inbound
PORT_A-V00157,MV B-0157,PORT_A,2024-02-07 14:41:00,1200,130.5,7.68,3,inbound
PORT_A-V00158,MV C-0158,PORT_A,2024-02-07 16:00:00,2000,166.7,8.65,2,inbound
PORT_A-V00159,MV D-0159,PORT_A,2024-02-07 21:58:00,300,79.6,6.15,2,inbound
PORT_A-V00160,MV E-0160,PORT_A,2024-02-07 22:07:00,600,102.6,6.54,3,inbound
PORT_A-V00161,MV F-0161,PORT_A,2024-02-07 22:27:00,1200,159.0,7.5,2,inbound
PORT_A-V00163,MV H-0163,PORT_A,2024-02-08 05:31:00,1200,135.7,7.28,1,inbound
PORT_A-V00162,MV G-0162,PORT_A,2024-02-08 05:38:00,2000,180.1,8.71,2,inbound
PORT_A-V00164,MV I-0164,PORT_A,2024-02-08 08:20:00,1200,128.2,7.51,2,inbound
PORT_B-V00082,MV E-0082,PORT_B,2024-02-08 09:46:00,2000,183.2,9.07,2,inbound
PORT_B-V00083,MV F-0083,PORT_B,2024-02-08 12:44:00,300,87.8,5.45,1,inbound
PORT_B-V00084,MV G-0084,PORT_B,2024-02-08 16:31:00,2000,180.0,9.22,3,inbound
PORT_A-V00165,MV J-0165,PORT_A,2024-02-08 23:52:00,600,119.9,6.05,3,inbound
PORT_B-V00085,MV H-0085,PORT_B,2024-02-08 23:58:00,600,113.0,6.36,2,inbound
PORT_A-V00166,MV K-0166,PORT_A,2024-02-09 08:10:00,1200,149.3,7.1,3,inbound
PORT_A-V00167,MV L-0167,PORT_A,2024-02-09 09:23:00,2000,186.0,9.09,2,inbound
PORT_B-V00086,MV I-0086,PORT_B,2024-02-09 09:44:00,300,122.9,5.45,2,inbound
PORT_A-V00168,MV M-0168,PORT_A,2024-02-09 10:35:00,600,115.4,6.07,2,inbound
PORT_A-V00169,MV N-0169,PORT_A,2024-02-09 11:49:00,2000,194.1,8.84,2,inbound
PORT_B-V00087,MV J-0087,PORT_B,2024-02-09 12:38:00,2000,171.8,8.74,2,inbound
PORT_B-V00088,MV K-0088,PORT_B,2024-02-09 12:51:00,300,95.6,6.09,2,inbound
PORT_A-V00170,MV O-0170,PORT_A,2024-02-09 13:19:00,600,111.2,6.15,2,inbound
PORT_B-V00089,MV L-0089,PORT_B,2024-02-09 14:11:00,300,106.1,5.37,2,inbound
PORT_A-V00171,MV P-0171,PORT_A,2024-02-09 14:44:00,2000,179.5,8.83,2,inbound
PORT_B-V00090,MV M-0090,PORT_B,2024-02-09 16:23:00,1200,133.4,7.89,2,inbound
PORT_B-V00091,MV N-0091,PORT_B,2024-02-10 08:14:00,300,88.3,5.46,2,inbound
PORT_B-V00092,MV O-0092,PORT_B,2024-02-10 09:07:00,600,108.0,6.66,1,inbound
